batch_ts,run_index,topology,algo,nodes,num_switches,num_controllers,objective,alpha,beta,k_paths,link_sens,obj_value,solve_time_sec,mip_gap,status,ctrl_load_mean_init,ctrl_load_mean_final,ctrl_load_max_init,ctrl_load_max_final,ctrl_capacity_mean,ctrl_usable_capacity_mean,mig_total,mig_count,mig_cc,mig_rt_penalty,load_dev_init,load_dev_final,ctrl_util_mean_init,ctrl_util_mean_final,ctrl_util_max_init,ctrl_util_max_final,delta_ctrl_util_max,ctrl_util_p95_init,ctrl_util_p95_final,ctrl_util_std_final,ctrl_util_cov_final,jain_load_init,jain_load_final,ctrl_headroom_mean_final,ctrl_headroom_p50_final,ctrl_headroom_p95_final,rt_mean_init_ms,rt_mean_final_ms,delta_rt_mean_ms,rt_max_init_ms,rt_max_final_ms,rt_p95_init_ms,rt_p95_final_ms,delta_rt_p95_ms,prop_delay_mean_ms,prop_delay_max_ms,queue_delay_mean_ms,queue_delay_max_ms,sync_delay_ms,ctrl_rt_mean_ms,ctrl_rt_p95_ms,ctrl_rt_max_ms,unstable_controllers,link_util_mean,link_util_max,link_util_p95,violated_links_count,excess_util_total,rebalanced_load_total
20260521_224711,0,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,2955395.901658617,0.005050655996456044,0.0,SUCCESS,nan,1112.25,nan,1340.0,1660.25,1328.2,3117131.1267734533,5,3117126.1267734533,0.0,1490.0,548.0,0.6731576447463536,0.6707582044315564,0.974510966212211,0.7943094250148192,-0.18020154119739185,0.9700372423493663,0.7857285799387927,0.12279282336321408,0.18306570467859815,0.7834689779770878,0.9686371821280146,0.3292417955684436,0.2903745217830044,0.49862635437529446,50.837908693201555,nan,nan,inf,143.12125102777853,nan,nan,nan,18.169833195782676,45.4108636277099,37.61532554233085,104.1666666666652,15.090555517618368,0.0,0.0,0.0,0,0.6879758906833671,1.3443532108676752,1.0377505011484887,5,1.3037072911755092,638.0
20260521_224713,0,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,1303688007.0774539,0.0010194450005656108,,SUCCESS,1112.25,1112.25,1644.0,1297.0,1660.25,1328.2,10374219.107210737,13,10374206.107210737,0.0,1490.0,352.0,0.6731576447463536,0.6696223489300701,0.974510966212211,0.7688203912270303,-0.20569057498518073,0.9700372423493663,0.7555793710762262,0.07071230252093715,0.10560027250273536,0.7834689779770878,0.9875463573403305,0.3303776510699299,0.3301474036641108,0.41665701958423285,50.837908693201555,nan,nan,inf,76.47085681143142,nan,nan,nan,18.497721145711647,44.37013189095538,8.314494592285698,19.011406844106414,15.090555517618368,0.0,0.0,0.0,0,0.7479356543937564,2.5225504069090086,1.6478497240053602,4,3.196330285257411,1143.0
20260521_224719,0,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,1856388.8276717481,4.521927333997155,0.0,SUCCESS,1112.25,1112.25,1644.0,1208.0,1660.25,1328.2,3712539.64982594,4,3712535.64982594,0.0,1490.0,238.0,0.6731576447463536,0.670427742591794,0.974510966212211,0.7160640189685833,-0.2584469472436277,0.9700372423493663,0.714931606925036,0.05652412384558193,0.08431053826481938,0.7834689779770878,0.9938692087147326,0.32957225740820595,0.30466911469785835,0.4089405215359347,50.837908693201555,nan,nan,inf,65.61912641247258,nan,nan,nan,18.897907796216444,45.4108636277099,5.634695176985702,7.0621468926553606,15.090555517618368,46.05171482608928,92.3317986428879,157.72800966348714,0,0.6659436395917964,1.0000000000000062,1.0000000000000009,6,0.933359952070432,816.0
20260521_224720,1,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,3706406.039547328,0.035872018001100514,0.0,SUCCESS,nan,1145.0,nan,1383.0,1685.75,1348.6000000000001,3768598.349109612,5,3768593.349109612,0.0,1547.0,495.0,0.677953635033707,0.678516166873766,0.9988505747126437,0.7948275862068965,-0.20402298850574718,0.996578812283659,0.7921997065739912,0.11237307109446555,0.16561590803682635,0.7761601997257146,0.9706590397470264,0.32148383312623396,0.3032589016294508,0.46068227692195546,45.689311744482346,nan,nan,inf,156.90480778585757,nan,nan,nan,17.719243249945265,45.4108636277099,44.0907418135042,111.11111111111111,15.090555517618368,0.0,0.0,0.0,0,0.6267124487318171,1.4377215222337132,0.9439135887512126,4,0.9390976614798604,697.0
20260521_224722,1,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,692806056.6882443,0.000622362997091841,,SUCCESS,1145.0,1145.0,1738.0,1324.0,1685.75,1348.6000000000001,5568809.47473891,6,5568803.47473891,0.0,1547.0,303.0,0.677953635033707,0.678752426319237,0.9988505747126437,0.7838957963291888,-0.2149547783834549,0.996578812283659,0.7677769441211898,0.06441382721721743,0.0949003270110179,0.7761601997257146,0.9894322948014287,0.32124757368076307,0.3425299495695725,0.3804767652383826,45.689311744482346,nan,nan,inf,93.63210238243859,nan,nan,nan,19.3999996111573,45.4108636277099,13.149903033123373,36.76470588235288,15.090555517618368,0.0,0.0,0.0,0,0.7190425889973545,2.022228730694818,1.8107668813486208,5,3.383350247747022,1133.0
20260521_224726,1,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,1856414.2749668695,2.9599607799973455,1.0486174613221266e-06,SUCCESS,1145.0,1145.0,1738.0,1306.0,1685.75,1348.6000000000001,3712539.64982594,4,3712535.64982594,0.0,1547.0,285.0,0.677953635033707,0.6786301206642058,0.9988505747126437,0.7505747126436781,-0.24827586206896557,0.996578812283659,0.7476143355600413,0.062468174126192544,0.0920504000987344,0.7761601997257146,0.9893852533091136,0.32136987933579414,0.3261140190368793,0.38371229865011025,45.689311744482346,nan,nan,inf,64.9952932892033,nan,nan,nan,20.6301244419336,46.6217436809743,7.467640558393688,11.627906976744185,15.090555517618368,49.583024179283036,77.77193418912132,109.18748859029814,0,0.6206960746144349,1.0000000000000044,1.0,11,1.251052731821259,851.0
20260521_224728,2,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,2625274.3721882612,0.011335838000377407,0.0,SUCCESS,nan,1123.25,nan,1375.0,1676.5,1341.2,2563795.7465328006,3,2563792.7465328006,0.0,1570.0,601.0,0.6633154485060924,0.6680743300993436,0.9920859242509893,0.7963076923076923,-0.19577823194329702,0.9820114971518024,0.7934528329782146,0.12964241945314062,0.19405388534216336,0.7793313880272568,0.9582513945806403,0.3319256699006564,0.300159032109005,0.5017774656878391,49.39722854130272,nan,nan,inf,210.60905807789786,nan,nan,nan,18.892348218945937,45.4108636277099,55.73211627193519,166.66666666666666,15.090555517618368,0.0,0.0,0.0,0,0.7086033920100488,1.6780938357079827,0.9692379900649534,5,1.3399293461641089,589.0
20260521_224729,2,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,378862988.30687493,0.000572897002712125,,SUCCESS,1123.25,1123.25,1755.0,1163.0,1676.5,1341.2,4420065.571445771,5,4420060.571445771,0.0,1570.0,113.0,0.6633154485060924,0.6709046123100668,0.9920859242509893,0.7156923076923077,-0.27639361655868155,0.9820114971518024,0.7127384615384615,0.03689543493257933,0.05499356280401848,0.7793313880272568,0.9984827669029412,0.3290953876899332,0.327240248728095,0.3735264314649015,49.39722854130272,nan,nan,inf,63.83920285694376,nan,nan,nan,19.223729972719426,45.4108636277099,5.0248519727634395,7.299270072992701,15.090555517618368,0.0,0.0,0.0,0,0.8922901319851457,4.256928651604445,2.863489032089176,6,7.65095831184355,978.0
20260521_224736,2,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,1856399.8278403964,5.5106011549978575,1.5689124397559916e-05,SUCCESS,1123.25,1123.25,1755.0,1310.0,1676.5,1341.2,3712539.64982594,4,3712535.64982594,0.0,1570.0,260.0,0.6633154485060924,0.6688883493192419,0.9920859242509893,0.7405313736574336,-0.2515545505935557,0.9820114971518024,0.7287747445318955,0.04381259299964226,0.06550060715548765,0.7793313880272568,0.9907997251466294,0.3311116506807581,0.3436923076923077,0.3733851260772422,49.39722854130272,nan,nan,inf,67.61294999326591,nan,nan,nan,20.08833547626551,49.184610764032065,5.737367024763032,9.505703422053228,15.090555517618368,43.919681842875924,66.78979560116369,99.43764599288754,0,0.6311118766321986,1.0000000000000402,0.9703996769177967,9,1.0357413254242407,872.0
20260521_224738,3,AttMpls,,25,25,4,maxmin,0.5,0.5,5,0.0,3655792.4233808983,0.02460233100282494,0.0,SUCCESS,nan,1170.75,nan,1327.0,1707.0,1365.6000000000001,3768598.3491096124,5,3768593.3491096124,0.0,1550.0,336.0,0.6834459537130577,0.6852831771997658,0.9994272623138603,0.7733175914994097,-0.22610967081445055,0.998981886071858,0.771323389200615,0.08260973982222404,0.12054832596327197,0.7781825679920527,0.9839356458520836,0.3147168228002342,0.308595392944034,0.4093270365997638,49.87258686971302,nan,nan,inf,67.50386127246404,nan,nan,nan,18.216441424846288,45.4108636277099,11.55476742485366,22.123893805309713,15.090555517618368,0.0,0.0,0.0,0,0.6521040941933837,2.0779996292943177,1.056976411185759,5,1.9591899528918775,796.0
