topology,run,algo,phase,controller,lambda,mu_init,mu_final,scale_factor,rho_init,rho_final,W_init,W_final,stable,alpha,beta,link_sens,k_paths,load_sens,controller_sens
CrlNetworkServices,0,B1,SM,5,878.0,984.8,984.8,1.0,0.8916,0.8916,inf,9.3633,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,0,B1,SM,6,977.0,984.8,984.8,1.0,0.9921,0.9921,inf,128.2051,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,0,B1,SM,7,984.0,984.8,984.8,1.0,0.9992,0.9992,0.0,1250.0,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,0,B3,SM,1,753.0,984.8,984.8,1.0,0.7646,0.7646,0.3202,4.3141,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,0,B3,SM,2,1142.0,984.8,984.8,1.0,1.1596,1.1596,0.2102,inf,0,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,0,B3,SM,3,750.0,1068.8,1068.8,1.0,0.7017,0.7017,1.5645,3.1368,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,0,B3,SM,4,847.0,986.4,986.4,1.0,0.8587,0.8587,inf,7.1736,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,0,B3,SM,5,834.0,984.8,984.8,1.0,0.8469,0.8469,inf,6.6313,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,0,B3,SM,6,775.0,984.8,984.8,1.0,0.787,0.787,inf,4.7664,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,0,B3,SM,7,855.0,984.8,984.8,1.0,0.8682,0.8682,inf,7.7042,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B1,SM,1,316.0,1020.8,1020.8,1.0,0.3096,0.3096,0.5891,1.4188,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B1,SM,2,734.0,955.2,955.2,1.0,0.7684,0.7684,0.3405,4.5208,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B1,SM,3,919.0,955.2,955.2,1.0,0.9621,0.9621,1.0246,27.6243,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B1,SM,4,957.0,1020.8,1020.8,1.0,0.9375,0.9375,inf,15.674,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B1,SM,5,953.0,956.8,956.8,1.0,0.996,0.996,inf,263.1579,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B1,SM,6,943.0,955.2,955.2,1.0,0.9872,0.9872,inf,81.9672,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B1,SM,7,955.0,955.2,955.2,1.0,0.9998,0.9998,inf,5000.0,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B3,SM,1,966.0,1020.8,1020.8,1.0,0.9463,0.9463,0.2356,18.2482,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B3,SM,2,811.0,955.2,955.2,1.0,0.849,0.849,0.2724,6.9348,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B3,SM,3,760.0,955.2,955.2,1.0,0.7956,0.7956,1.2807,5.123,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B3,SM,4,842.0,1020.8,1020.8,1.0,0.8248,0.8248,inf,5.5928,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B3,SM,5,801.0,956.8,956.8,1.0,0.8372,0.8372,inf,6.4185,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B3,SM,6,778.0,955.2,955.2,1.0,0.8145,0.8145,inf,5.6433,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,1,B3,SM,7,819.0,955.2,955.2,1.0,0.8574,0.8574,inf,7.3421,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B1,SM,1,330.0,1092.8,1092.8,1.0,0.302,0.302,0.532,1.311,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B1,SM,2,788.0,1001.6,1001.6,1.0,0.7867,0.7867,0.3138,4.6816,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B1,SM,3,923.0,1001.6,1001.6,1.0,0.9215,0.9215,1.4225,12.7226,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B1,SM,4,1023.0,1029.6,1029.6,1.0,0.9936,0.9936,inf,151.5152,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B1,SM,5,961.0,1001.6,1001.6,1.0,0.9595,0.9595,0.0,24.6305,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B1,SM,6,1028.0,1029.6,1029.6,1.0,0.9984,0.9984,inf,625.0,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B1,SM,7,1003.0,1004.0,1004.0,1.0,0.999,0.999,inf,1000.0,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B3,SM,1,964.0,1092.8,1092.8,1.0,0.8821,0.8821,0.2128,7.764,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B3,SM,2,944.0,1001.6,1001.6,1.0,0.9425,0.9425,0.2511,17.3611,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B3,SM,3,861.0,1001.6,1001.6,1.0,0.8596,0.8596,1.4225,7.1124,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B3,SM,4,870.0,1029.6,1029.6,1.0,0.845,0.845,inf,6.2657,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B3,SM,5,737.0,1001.6,1001.6,1.0,0.7358,0.7358,inf,3.7793,1,0.5,0.5,0.05,5,0.0,0.0
